Gender,Age,Height,Weight,Heart_Rate,Body_Temp,Calories,Duration
female,29,180,76,97,39.9,60,12
male,22,194,92,92,39,23,6
female,28,158,60,113,40.8,186,27
male,38,188,93,104,40.9,178,28
male,23,169,73,102,40.7,122,25
female,68,159,68,108,40.5,166,24
male,79,176,86,102,40.1,158,20
female,35,182,70,83,38.4,7,2
male,67,201,96,105,40.5,143,18
female,21,156,52,82,39.8,43,12
female,44,143,49,92,40.2,86,17
female,43,175,72,100,40.7,128,23
male,21,186,79,111,41,182,29
female,32,170,70,98,39.7,52,10
male,79,179,91,107,40.4,236,27
male,51,192,96,97,40.6,114,19
female,60,174,67,99,39.7,64,11
male,49,184,86,103,40.8,171,26
male,46,179,84,82,39.2,19,6
female,35,149,54,111,40.5,144,21
male,31,172,76,94,39.7,37,9
male,42,185,78,110,41.4,185,26
female,66,174,69,87,39.8,60,13
male,52,189,90,96,40.5,127,22
male,59,166,73,101,40.4,149,23
male,23,169,71,102,40.1,78,16
female,49,164,63,91,38.9,24,5
female,25,157,57,107,40.8,143,23
male,20,188,84,104,41,143,27
female,28,163,66,94,40.1,71,15
male,60,182,90,90,40.2,58,11
female,29,178,77,95,40.4,71,15
male,40,184,87,88,39.5,20,5
male,26,191,93,96,40.3,78,17
female,26,176,76,97,40.4,93,19
male,25,158,58,90,39.2,17,6
female,60,190,87,84,38.9,12,3
male,25,181,81,101,40.8,115,23
female,39,165,65,106,40.6,119,19
female,30,153,53,108,40.6,168,26
male,23,198,100,90,40.4,44,12
female,37,148,51,108,40.6,192,29
female,22,147,47,101,40.3,96,17
female,26,170,68,105,40.7,135,23
female,56,167,60,86,40.2,54,12
male,43,171,79,115,40.8,239,30
female,38,169,65,94,40.1,69,14
male,24,179,80,90,40.7,46,14
female,25,164,63,101,40.7,115,21
female,31,163,62,88,39.1,17,4
female,54,151,57,115,40.4,190,25
female,34,190,91,89,40.2,48,12
female,28,176,72,112,40.7,178,27
male,24,191,95,88,39.3,20,6
female,27,167,69,90,40.4,64,15
female,35,154,57,94,40.6,95,19
male,49,183,89,111,40.8,196,25
male,36,185,91,91,38.1,9,2
female,58,192,83,101,40.8,105,18
female,40,157,61,92,40,58,12
male,31,179,77,97,40.8,111,24
male,50,182,86,101,40.3,108,17
male,36,202,109,87,39.1,24,6
female,34,163,61,96,40.1,67,13
female,78,153,54,84,40.3,62,13
male,41,178,76,104,40.8,172,28
male,41,172,71,87,39.5,24,7
male,24,178,77,98,40.1,84,19
female,67,173,69,105,40.5,132,20
female,47,179,75,110,40.7,167,25
female,42,154,52,101,40.6,101,17
female,25,180,75,97,40.6,113,23
male,25,179,78,101,40.3,84,17
female,58,165,68,88,39.4,28,6
male,68,191,98,99,41,157,22
male,24,181,91,97,40.4,64,14
male,38,192,92,104,40.6,133,21
female,26,164,59,108,40.5,145,23
male,64,178,83,103,41,174,24
female,49,174,75,93,39.2,34,7
female,73,158,57,103,40.9,193,29
male,27,180,86,107,40.7,147,24
male,66,171,72,105,40.5,133,18
male,39,199,104,101,40.7,161,26
female,30,168,62,76,39.4,18,6
male,76,187,96,96,40.1,85,12
male,60,193,90,95,40,90,15
male,54,188,90,108,40.9,176,23
female,49,166,66,89,39.6,51,11
female,24,173,66,82,39.3,24,7
female,28,161,57,83,39.5,22,6
male,72,197,102,106,40.9,212,25
male,32,171,78,112,40.9,201,29
female,36,159,59,93,40.3,83,17
male,65,204,103,93,40.1,87,14
female,36,163,67,97,40.7,141,27
female,32,159,63,103,40.3,134,23
male,42,180,84,80,38.6,5,2
male,34,191,94,109,40.9,201,29
male,34,181,78,86,38.2,9,3
male,26,191,86,83,39.3,20,8
male,31,203,105,113,40.8,221,29
female,64,157,63,105,40.1,112,17
male,34,185,93,99,40.3,108,20
male,63,204,112,110,40.4,257,29
male,44,194,87,108,40.8,192,27
male,36,190,96,90,40.3,72,17
male,41,173,71,104,41.2,169,28
male,73,168,77,97,40.3,120,18
male,31,186,85,106,40.8,172,28
male,22,179,73,84,39.9,21,10
female,34,161,56,102,40.6,105,18
female,21,168,65,109,40.3,156,25
female,22,145,50,89,38.7,13,3
male,33,190,97,100,40.8,134,24
female,51,157,60,103,40.4,130,21
male,45,195,99,83,37.9,7,2
female,33,175,67,101,41.1,140,25
male,47,198,97,91,39.3,34,7
female,70,175,74,79,40,34,9
female,77,160,63,92,39.5,44,8
female,35,172,71,85,39.9,42,11
female,44,161,60,89,38.4,9,2
female,71,164,60,97,40.5,107,18
female,54,174,75,87,39.6,39,9
female,63,166,68,108,40.8,178,26
female,50,149,55,101,40.4,79,13
male,63,200,105,102,40.3,113,15
female,30,163,58,109,40.5,143,22
female,33,163,57,84,38.7,16,4
male,38,189,91,100,40.5,137,24
male,20,183,81,97,40.5,71,17
female,67,159,62,94,40.2,72,13
male,24,188,90,103,40.1,76,14
male,30,197,103,109,40.5,187,27
female,35,145,49,103,40.2,109,18
female,63,176,79,111,40.5,204,29
female,50,157,60,91,39.4,29,6
male,33,200,101,98,40.5,91,17
female,36,163,58,84,39,16,4
male,75,187,97,84,39.1,36,7
male,56,184,93,97,39.9,80,13
female,50,182,75,111,40.6,151,22
male,24,183,80,116,40.6,195,27
female,32,172,72,80,39.5,26,8
male,49,193,100,99,40.5,138,22
female,77,170,65,89,39,15,3
male,67,171,75,97,40.5,120,19
male,23,182,81,112,41,197,30
male,37,192,95,98,40.7,114,21
female,35,163,59,107,40.6,127,20
male,34,185,83,97,40.8,112,23
female,49,168,67,98,40.4,116,21
female,69,156,61,83,39.4,35,8
male,49,194,101,103,40.4,110,16
female,41,150,51,95,40.2,117,22
male,42,195,95,105,40.2,115,17
male,52,188,93,107,40.6,157,21
female,26,158,60,91,40,54,12
female,79,178,80,104,40.5,163,25
male,72,172,82,107,40.5,156,19
male,34,195,92,91,39.9,42,10
female,60,152,50,89,39.8,35,7
female,45,158,57,91,39.3,34,7
male,33,188,92,98,40.4,99,19
male,56,192,97,109,40.5,161,20
female,21,153,54,94,39.8,38,8
female,50,161,61,99,40.5,104,18
male,60,184,86,105,41,200,27
male,39,162,72,108,40.7,183,28
male,48,175,75,110,40.7,140,19
female,38,163,65,97,40.5,100,19
male,54,190,95,110,40.3,178,22
male,23,195,89,104,41,150,27
female,72,164,68,94,40.2,83,15
male,47,179,79,74,39.3,12,6
female,58,170,72,103,39.9,49,8
male,41,179,85,101,40.8,147,25
male,62,193,100,90,39.4,44,8
female,30,168,67,107,40.9,179,29
female,32,156,56,113,40.5,161,23
male,20,178,80,84,39.4,20,9
female,53,168,65,102,40.5,127,21
male,51,189,95,112,41,247,30
male,78,177,86,100,40.8,173,23
female,31,169,69,74,37.6,3,1
male,74,205,112,83,39,32,6
female,50,177,70,106,40.9,140,22
female,40,160,70,88,40,34,8
male,41,172,75,88,39.7,30,8
female,26,161,54,94,40.3,64,13
male,25,185,89,104,40.8,152,27
male,31,184,89,105,39.9,91,15
male,20,186,90,83,38.8,9,4
female,55,176,72,84,39.3,20,5
female,52,160,59,103,40.7,156,25
male,60,208,105,110,40.6,223,26
male,36,191,93,97,40,83,16
female,53,168,69,89,40,51,11
male,36,193,95,97,40,52,10
female,23,169,68,114,40.9,170,25
female,36,164,57,79,37.9,7,2
female,37,166,61,103,40.7,149,25
male,48,181,80,105,40.6,181,27
female,39,167,71,118,41.1,201,27
male,21,205,103,88,39.6,23,7
male,20,187,86,100,40.3,109,23
male,57,169,72,84,39.7,30,8
female,77,160,66,94,40.5,84,15
male,34,184,85,109,40.4,128,19
male,52,189,92,97,40.7,137,23
male,70,194,91,103,40.8,216,28
female,64,157,54,95,40.1,68,12
male,73,198,101,97,40.7,129,18
male,47,195,99,88,39.8,50,11
female,39,164,65,84,39.2,19,5
female,25,163,60,89,39.4,30,7
male,22,165,67,119,40.4,197,27
male,67,173,78,95,38.7,24,4
female,64,164,67,94,40.2,70,13
male,37,200,100,91,40.1,54,12
male,21,184,78,100,40.5,88,19
male,40,190,97,83,39.5,24,7
female,36,174,68,108,40.1,121,19
female,53,178,77,95,39.9,57,11
male,41,192,99,98,40.5,126,22
male,56,184,88,89,39.5,24,5
female,29,166,65,84,40,41,11
male,28,192,92,92,39.5,28,7
male,22,191,88,90,39.7,34,10
male,76,195,93,96,40.5,161,23
male,73,175,76,86,38.9,20,4
male,39,191,86,97,40.6,119,23
female,69,162,59,95,39.6,63,11
female,46,180,75,93,40.1,58,12
female,30,163,58,115,40.6,215,30
female,35,168,67,101,40.1,96,17
female,60,176,71,107,41,160,24
female,35,150,50,104,41,154,25
male,26,182,84,81,39.1,11,5
male,21,183,83,104,40.5,122,23
female,27,158,57,101,40.4,124,22
female,47,172,69,97,40.6,113,21
female,27,183,79,80,38.9,9,3
male,49,181,79,108,40.7,208,29
male,27,178,83,102,41,101,19
male,46,194,91,91,40,66,14
male,58,197,98,102,40.1,100,14
male,27,172,77,101,39.9,65,13
male,29,176,76,91,39.8,47,13
male,39,197,96,78,38.6,8,3
female,56,160,63,84,38.7,17,4
male,32,183,83,97,40.4,101,21
female,43,169,67,80,39,18,5
male,21,202,98,108,40.5,131,21
female,76,175,72,97,39.8,58,10
female,22,162,59,104,40,87,15
male,35,200,99,104,40.6,152,24
male,45,191,95,105,41,193,28
male,32,176,83,99,39.7,51,10
male,39,178,80,105,40.7,157,25
female,44,174,75,105,40.8,165,27
female,26,174,67,84,39.4,22,6
female,42,179,72,98,40.1,91,17
female,24,178,78,93,38.2,9,2
male,56,186,93,91,40,74,14
male,71,185,96,85,39.1,26,5
female,37,187,84,99,39.9,57,11
female,47,162,63,81,39.9,37,10
male,48,167,67,112,40.9,217,29
male,52,183,86,87,40,47,11
male,40,192,98,99,40.4,139,24
female,66,180,75,88,38.9,19,4
female,37,157,59,94,40.2,80,16
male,28,193,93,94,40.4,74,17
female,59,148,51,93,39.7,54,10
male,24,182,78,105,40.8,154,28
female,67,162,62,93,40.7,140,26
male,33,192,98,97,39.8,52,10
male,34,192,99,97,40.1,79,15
male,40,181,84,99,40.4,94,17
male,22,193,85,116,41,202,28
male,66,164,75,114,40.7,238,27
male,42,182,82,103,40.2,117,19
male,42,209,111,83,39.5,26,7
male,64,203,97,106,40.7,184,23
female,32,162,64,105,40.5,169,28
male,24,189,91,78,37.7,2,1
male,26,182,83,107,41,162,27
female,32,159,55,92,40.2,62,13
male,51,190,94,105,40.4,150,21
female,40,165,59,110,41.1,183,27
female,34,179,74,101,40.9,138,25
male,48,185,88,103,40,99,15
female,21,147,45,100,40.6,128,23
female,31,175,68,91,40.3,54,12
male,76,193,103,95,40.3,127,18
male,20,177,79,84,38.9,11,5
male,22,167,73,94,40.7,66,18
male,44,180,84,91,39.5,49,11
female,49,173,67,85,39.5,42,10
male,49,179,79,95,39.5,37,7
female,46,154,55,84,38.6,12,3
male,75,186,84,107,41.1,243,29
female,20,167,58,76,39.3,14,5
female,33,154,59,105,40.6,171,28
male,68,166,75,112,40.8,241,28
female,58,173,73,104,40.6,125,20
male,23,179,81,112,40.6,171,26
male,79,198,96,87,39.7,52,9
male,43,201,104,103,40.7,187,28
female,37,178,74,104,40.8,141,24
male,75,199,103,123,40.5,314,28
female,61,173,73,102,40.8,159,26
female,26,169,62,80,40.2,30,9
female,23,173,72,110,40.9,176,28
male,64,178,82,111,40.8,211,25
female,20,170,68,85,39.4,29,8
female,22,171,69,95,40.1,99,21
female,27,169,69,116,41.1,190,27
male,36,190,95,83,39.5,22,7
male,59,191,92,110,41,247,30
male,36,206,103,84,39,17,5
female,71,160,65,86,39.7,37,8
female,21,167,67,103,40.4,117,21
male,56,188,90,91,39.7,52,10
female,68,166,64,75,37.9,7,2
male,75,172,74,98,39.7,68,10
male,48,176,84,89,40.4,74,17
male,62,185,91,97,40.6,154,24
female,53,156,60,104,40.7,165,26
male,47,187,89,97,39.9,96,17
male,39,188,91,101,39.8,77,13
female,54,168,63,92,40.3,86,17
male,38,201,104,101,40.6,129,21
female,39,149,51,100,40.4,151,26
male,51,182,81,106,40.9,197,28
male,30,193,92,104,40.3,77,13
female,33,156,61,90,39.1,22,5
male,47,182,82,100,40.7,161,27
female,64,155,55,114,40.8,192,25
female,37,159,58,90,39.2,37,8
male,41,188,91,106,40.5,135,20
male,61,179,77,90,40,55,11
male,38,169,71,84,39.8,29,10
male,21,185,88,97,39.9,52,12
female,26,173,73,69,37.9,2,1
male,48,183,81,94,40.6,106,21
male,71,183,80,84,39,28,6
male,73,199,97,107,40.9,189,22
female,65,158,61,111,41,190,26
female,57,149,56,91,39.9,66,13
male,49,185,93,99,40.5,135,22
male,55,178,79,97,38.7,23,4
male,20,182,74,80,39.9,17,12
female,45,163,58,84,38.9,21,5
female,53,175,75,90,40.2,60,13
female,46,166,58,93,39.6,51,10
male,25,198,96,85,39.1,15,5
male,22,163,65,92,40,29,9
female,60,164,66,110,40.8,190,27
female,50,168,62,89,40.1,51,11
female,61,157,56,95,40.5,95,17
female,69,165,62,112,40.9,216,29
male,30,195,92,101,41,165,30
female,33,164,61,105,40.6,122,20
male,21,206,105,96,40.1,69,15
female,39,152,53,99,40.9,113,20
male,26,180,81,92,39.5,26,7
male,44,175,80,91,39.2,22,5
female,58,144,42,96,40.1,70,12
male,24,177,83,83,39.3,9,4
male,35,187,91,95,40.3,72,15
male,21,189,94,111,40.6,165,25
male,26,181,82,105,41,165,29
female,30,162,57,88,40.3,64,15
male,27,182,81,105,40.5,103,18
female,32,147,51,83,39.1,15,4
female,30,185,84,85,39.6,32,9
female,79,160,57,85,40,68,14
female,39,164,58,106,40.6,159,25
male,25,188,89,92,39.6,23,6
female,23,169,70,90,40.1,54,13
female,47,172,70,89,37.8,9,2
male,34,182,80,120,40.7,240,29
female,36,152,54,86,39.7,42,10
male,63,203,115,106,40,117,14
female,37,164,59,106,40.6,164,26
female,50,156,55,98,40.8,132,23
male,62,191,96,85,38.2,9,2
female,37,173,67,94,40,74,15
female,35,169,69,96,40.7,116,23
male,27,174,79,102,39.7,42,8
male,55,179,79,110,40.6,187,24
male,36,173,75,94,40.4,70,16
female,22,140,45,86,39.1,29,7
male,20,170,71,83,39.8,17,9
male,43,185,83,108,40.9,195,28
female,73,181,76,106,40.4,127,19
male,22,184,82,87,39.9,39,14
male,67,155,64,88,38.9,28,6
male,25,195,100,93,40.3,68,16
female,41,165,63,97,40.5,91,17
male,49,181,81,97,40.2,89,16
female,58,148,53,89,37.7,10,2
male,27,180,80,111,41.2,185,28
female,33,172,76,79,38.7,16,5
female,59,156,58,91,40.3,97,19
male,21,183,77,92,40.2,44,13
female,65,155,59,95,40,56,10
male,22,191,88,103,40.4,112,21
male,55,192,91,81,39.8,37,10
male,22,182,82,86,39.8,24,9
female,35,132,38,112,40.5,216,30
male,58,203,101,101,40.1,106,15
male,45,194,103,85,39.9,57,14
male,62,195,99,97,40.3,119,18
female,74,162,60,97,40.1,96,16
female,48,146,46,88,39.5,33,7
male,23,173,73,100,40.7,106,23
male,31,184,90,106,41,156,25
male,53,199,98,92,40.4,75,14
male,73,189,89,99,40.6,130,18
female,27,170,66,113,40.5,142,21
male,40,177,83,99,40.5,121,22
female,66,162,66,99,40.7,143,24
female,46,170,73,105,40.7,123,20
female,75,165,62,108,41.1,186,26
male,33,162,67,94,40.3,53,13
female,49,164,59,104,40.8,170,27
female,37,166,67,97,40.2,78,15
female,43,167,70,113,40.5,182,26
female,66,187,82,92,40,55,11
female,51,161,59,101,40.6,150,25
female,33,162,56,80,39.9,21,6
male,48,170,72,90,39,26,6
male,43,192,95,93,40.5,90,18
male,48,174,75,99,40.7,91,16
male,34,186,87,95,40.3,79,17
female,61,168,66,107,41.1,195,29
female,48,177,75,101,39.9,57,10
female,30,162,57,98,40.5,96,18
female,79,163,61,93,39.7,39,7
female,67,172,73,85,38.6,18,4
male,60,184,84,85,39.3,17,4
female,57,171,76,97,40.3,82,15
male,34,194,96,101,40.5,110,19
female,42,157,56,106,40.8,161,25
male,38,181,82,107,40.8,164,25
male,43,179,83,81,39.5,15,5
male,76,189,99,96,40.2,85,12
male,37,179,79,101,40.6,128,23
male,23,195,98,94,40.2,59,14
male,21,205,108,84,37.9,6,2
female,20,151,54,92,40.2,82,18
female,23,168,62,105,40.5,148,25
female,20,170,65,76,38.2,8,3
female,25,173,71,86,40.3,53,14
female,24,155,50,98,40.2,85,16
female,29,157,57,99,40.9,120,22
male,43,199,106,107,40.7,205,28
female,26,175,66,80,39.1,13,4
female,76,176,77,107,40.6,192,28
male,43,184,89,91,38.7,18,4
male,73,190,94,92,39.3,44,7
male,42,198,104,103,41.3,172,26
female,23,171,65,105,40.4,158,27
male,22,186,76,82,39.5,11,6
male,28,176,77,96,40.9,108,25
female,20,170,64,96,40.5,112,23
female,36,169,65,92,39.7,66,14
male,26,201,104,88,39.7,36,10
male,59,167,72,89,38.7,19,4
female,22,152,50,94,39.5,49,10
female,50,170,70,100,40.6,149,26
male,22,171,77,81,38.6,4,2
female,52,171,70,115,40.6,206,28
female,31,169,66,94,40.9,111,23
male,68,186,98,105,41.1,226,28
female,48,169,65,94,39.3,56,11
male,31,186,94,92,39.7,30,7
female,23,159,60,91,40.2,67,15
male,24,178,78,102,40.7,111,22
male,58,172,75,107,40.7,199,27
female,32,176,69,102,40.3,85,15
female,21,144,47,77,38.1,6,2
male,63,200,98,105,40.9,219,28
male,77,176,82,102,39.9,162,21
male,49,188,85,110,40.5,190,25
male,26,189,91,108,40.7,190,30
female,53,166,64,87,39.5,40,9
female,31,179,77,92,40.1,40,9
female,32,165,66,75,38.5,8,3
female,35,178,71,85,39.8,31,8
female,66,151,57,100,40.7,130,21
female,40,157,60,89,39.9,32,7
male,62,181,87,97,40.6,139,22
female,24,159,58,88,38.5,12,3
male,37,185,87,96,39.5,55,11
male,49,186,86,95,39.4,48,9
male,32,198,99,107,40.4,160,24
female,46,164,62,94,39.9,67,13
male,59,178,75,105,41.2,178,25
female,42,168,68,91,40.4,79,17
male,44,184,85,85,39.6,32,9
female,74,175,77,103,40.4,140,22
male,68,190,99,92,40.3,86,14
male,58,184,84,97,40.3,97,16
male,32,184,80,117,40.7,217,28
male,34,192,93,91,40.6,88,21
female,23,160,58,106,40.3,127,21
female,52,174,69,88,39.2,32,7
female,28,160,63,85,39.1,19,5
female,47,172,66,103,40.7,121,20
male,24,168,68,92,39.8,40,12
female,73,162,60,91,39.8,48,9
male,76,192,103,100,40.4,195,25
male,65,163,69,91,39.9,52,10
male,29,173,71,81,39.1,8,4
male,20,178,81,104,40.8,136,26
male,33,187,90,86,39.1,20,6
female,33,170,61,83,38.7,11,3
male,34,174,72,103,40.7,144,26
female,43,160,60,89,40.1,59,13
female,47,173,74,97,39.8,53,10
female,65,187,82,90,39.2,38,8
female,22,161,62,99,40.8,152,29
male,28,184,85,94,39.4,34,8
female,30,157,60,87,38.7,12,3
male,20,184,84,76,37.8,1,1
male,32,196,96,110,40.9,197,28
female,56,171,66,103,40,124,20
male,67,188,90,106,40.3,120,15
male,62,207,105,88,39.7,48,9
female,33,182,73,97,40.4,86,17
male,46,201,96,108,40.3,185,25
male,79,191,91,90,39.6,49,8
female,57,152,57,85,40,49,11
female,49,167,66,87,39.9,48,11
male,41,186,87,100,40.3,81,14
male,38,170,77,112,40.3,137,19
male,28,189,84,98,40.6,115,24
male,31,189,84,98,40.6,93,19
male,48,193,93,87,39.5,34,8
male,41,179,80,106,40.6,170,26
male,71,201,103,92,39.1,38,6
female,30,161,64,99,40.7,139,26
female,30,167,67,94,40.5,86,18
female,29,163,59,111,40.9,174,26
male,34,184,88,82,39.1,14,5
male,42,167,76,108,40.6,197,29
female,51,169,68,105,40.4,107,17
male,35,187,92,100,40.5,106,19
female,28,172,68,85,38.6,11,3
female,33,187,80,90,39,25,6
female,22,160,56,98,40.5,120,23
male,64,172,73,102,40.5,151,22
female,57,157,57,91,40.1,91,18
female,42,157,56,95,40.5,95,18
male,24,188,91,101,40.8,119,23
male,49,169,80,82,38.4,10,3
male,32,184,81,99,40.2,96,19
male,78,176,80,98,40.1,92,13
female,53,166,63,107,40.7,159,24
male,68,195,98,105,40.4,169,21
male,47,200,108,98,40.2,93,15
female,51,154,56,96,40.6,83,15
female,64,158,59,92,40.6,116,22
male,51,198,94,87,40.1,75,17
female,23,153,55,98,40.8,137,26
female,42,148,48,94,40.5,79,15
male,23,180,75,88,39.4,23,8
male,70,191,98,83,39.1,19,4
male,53,189,94,88,40,52,11
male,28,184,84,98,40.1,76,16
female,48,182,80,92,40,47,10
female,43,158,61,99,40.6,124,22
female,21,178,71,89,39.8,28,7
male,26,194,92,104,40.6,127,22
female,53,170,67,95,40,101,19
female,32,171,68,103,40.9,150,26
male,24,212,105,90,39.8,34,9
male,30,194,94,93,40.2,56,13
female,31,174,69,104,41.1,158,27
male,21,182,87,107,40.6,129,22
male,35,186,86,93,39.8,44,10
male,56,201,105,94,39.7,66,11
female,34,153,51,107,40.8,181,28
female,29,153,58,101,40.1,79,14
female,23,147,51,113,40.5,145,21
female,22,158,62,110,40.7,180,28
male,42,183,82,98,40.4,81,15
female,40,178,73,95,40.5,75,15
male,28,179,83,79,38.1,4,2
male,49,198,102,100,40.5,110,17
male,28,180,79,93,39.6,35,9
male,56,196,94,86,39,23,5
female,41,167,61,103,41.2,175,29
male,38,198,96,95,40.6,137,27
female,21,140,48,106,40.6,166,27
male,73,183,90,94,40.5,136,21
male,48,183,91,102,40.4,156,24
female,53,172,71,89,39.7,37,8
male,43,178,82,102,40,97,16
male,20,172,71,99,40.3,77,18
male,22,184,85,105,40.6,156,28
male,50,191,95,93,40.1,58,11
male,46,184,89,95,39.9,53,10
female,40,165,62,100,40.5,108,19
female,71,163,65,90,40,56,11
male,20,172,76,106,40.3,103,19
male,68,196,98,101,40.1,164,22
male,50,172,73,98,40.1,73,13
male,24,166,71,78,38.2,3,2
female,25,159,57,99,40.2,80,15
male,34,196,103,96,40.4,88,17
female,42,170,75,98,40.3,74,14
female,29,140,40,101,40,94,16
male,40,167,66,87,39.1,20,6
female,77,176,76,85,39.3,41,9
male,46,177,83,98,41,112,20
female,78,168,71,96,39.7,69,12
male,35,186,92,99,40.9,130,24
male,21,199,100,98,40.6,100,21
female,45,156,57,104,40.6,169,27
female,56,172,65,108,41,183,27
female,74,160,66,110,40.8,211,29
male,46,180,83,86,39.6,23,6
male,21,196,92,95,40,58,14
male,26,180,75,77,39.2,5,4
male,63,176,79,90,39.8,62,12
female,34,156,51,90,38.7,14,3
male,68,205,106,107,40.5,196,23
male,56,182,87,91,39.9,82,16
male,21,173,78,108,40.7,163,28
male,20,173,73,99,40.7,108,25
female,35,161,62,102,40.3,87,15
male,25,194,97,99,40.4,91,18
female,62,148,44,108,40.8,186,26
female,63,173,66,83,39.4,34,8
female,46,154,57,97,40.2,61,11
male,46,175,80,97,40.5,113,21
male,24,187,87,82,39.2,11,5
male,43,178,83,83,40.3,42,13
female,27,157,59,81,38.3,7,2
male,65,172,80,96,39.9,86,14
female,63,150,50,88,39.4,35,7
male,59,199,104,102,40.5,146,20
female,34,151,51,97,39.2,38,7
female,57,172,70,105,41.2,179,28
male,28,192,94,85,39.7,30,10
male,31,202,98,97,40.3,71,14
female,30,166,66,87,40.2,65,16
male,38,176,77,80,38.6,5,2
female,54,169,71,107,40.5,190,29
male,54,195,100,82,39.6,36,9
male,31,193,97,92,40.5,64,15
male,73,167,69,109,40.8,240,29
female,75,156,57,114,41,212,27
male,39,164,73,97,40.5,108,22
male,26,193,87,87,39.2,15,5
female,28,157,59,111,41,153,23
male,58,191,91,91,39.6,53,10
male,79,202,108,99,41,142,18
female,26,167,58,95,40.2,74,15
